domain,attack_type,corruption_rate,baseline_recall,poisoned_recall,baseline_prauc,poisoned_prauc,kl_divergence,n_missed_per_1000,recall_degradation
fraud,label_flip,0.001,0.8105263157894737,0.8736842105263158,0.8534907581664058,0.765174554472018,1.0996646001479795,0.2115,-0.0631578947368421
fraud,label_flip,0.003,0.8105263157894737,0.8526315789473684,0.8534907581664058,0.7456094742727228,2.9532843061869234,0.2467,-0.0421052631578947
fraud,label_flip,0.005,0.8105263157894737,0.9052631578947368,0.8534907581664058,0.7804711518997589,3.5946545801775294,0.1586,-0.0947368421052632
fraud,label_flip,0.01,0.8105263157894737,0.9263157894736842,0.8534907581664058,0.7495150098649852,4.144706771131603,0.1234,-0.1157894736842105
fraud,label_flip,0.015,0.8105263157894737,0.9473684210526316,0.8534907581664058,0.7610760946260426,4.538433066124068,0.0881,-0.1368421052631578
fraud,label_flip,0.02,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.7397105260149449,4.583901869833944,0.0705,-0.1473684210526316
fraud,label_flip,0.025,0.8105263157894737,0.9894736842105264,0.8534907581664058,0.7468703133733661,4.87609342586643,0.0176,-0.1789473684210526
fraud,label_flip,0.03,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.7598862688859737,5.370964305727496,0.0705,-0.1473684210526316
fraud,label_flip,0.04,0.8105263157894737,0.968421052631579,0.8534907581664058,0.7295693329800552,5.338679936389892,0.0529,-0.1578947368421053
fraud,label_flip,0.05,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.6970682325039783,5.616621827697286,0.0705,-0.1473684210526316
fraud,label_flip,0.075,0.8105263157894737,0.9894736842105264,0.8534907581664058,0.7395705614270325,6.166815817493483,0.0176,-0.1789473684210526
fraud,label_flip,0.1,0.8105263157894737,0.968421052631579,0.8534907581664058,0.7140634506509628,6.548952657582522,0.0529,-0.1578947368421053
fraud,targeted_flip,0.001,0.8105263157894737,0.8315789473684211,0.8534907581664058,0.8144665819972898,0.1122480800477595,0.282,-0.0210526315789474
fraud,targeted_flip,0.003,0.8105263157894737,0.8947368421052632,0.8534907581664058,0.8143062618669156,0.4990900136191737,0.1762,-0.0842105263157895
fraud,targeted_flip,0.005,0.8105263157894737,0.9052631578947368,0.8534907581664058,0.7833169575086707,0.7923358092914942,0.1586,-0.0947368421052632
fraud,targeted_flip,0.01,0.8105263157894737,0.9473684210526316,0.8534907581664058,0.691168492957329,1.1760264706886951,0.0881,-0.1368421052631578
fraud,targeted_flip,0.015,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.708136001125467,1.3143884413798572,0.0705,-0.1473684210526316
fraud,targeted_flip,0.02,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.7038002432251698,1.2952784493013296,0.0705,-0.1473684210526316
fraud,targeted_flip,0.025,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.5729139268771569,1.349146353892301,0.0705,-0.1473684210526316
fraud,targeted_flip,0.03,0.8105263157894737,0.936842105263158,0.8534907581664058,0.542860354325373,1.3716182790728688,0.1057,-0.1263157894736842
fraud,targeted_flip,0.04,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.5586346817602029,1.437753118780498,0.0705,-0.1473684210526316
fraud,targeted_flip,0.05,0.8105263157894737,0.9578947368421052,0.8534907581664058,0.5447940661924182,1.4473480133659256,0.0705,-0.1473684210526316
fraud,targeted_flip,0.075,0.8105263157894737,0.968421052631579,0.8534907581664058,0.2823952677048039,1.537660912383867,0.0529,-0.1578947368421053
